CP008834 CP008835
CP008758 CP008759
CP009127 CP009128
CP008911 CP008912
CP008893 CP008894
CP008763 CP008764
CP008909 CP008910
CP008784 CP008783
CP008891 CP008892
CP008754 CP008755
NC_018527 NC_018529
NC_006350 NC_006351
CP009164 CP009165
CP009150 CP009151
CP009162 CP009163
CP009234 CP009235
CP009271 CP009272
CP009270 CP009269
CP009152 CP009153
CP009156 CP009157
CP009160 CP009161
CP009535 CP009536
CP004042 CP004043
CP004023 CP004024
CP004368 CP004369
NC_009074 NC_009075
CP004003 CP004004
CP004377 CP004378
CP004001 CP004002
CP003976 CP003977
LK936442 LK936443
NZ_CM000774 NZ_CM000775
NZ_CM000832 NZ_CM000833
CP000124 CP000125
CM001156 CM001157
CP006469 CP006470
